id,name,birthdate,deathdate
2230,Eddie Cibrian,6/16/73,
2231,Eddie Deezen,3/6/57,
2232,Eddie Griffin,7/15/68,
2233,Eddie Izzard,2/7/62,
2234,Eddie Jemison,,
2235,Eddie Jones,,
2236,Eddie Kaye Thomas,10/31/80,
2237,Eddie Marsan,6/9/68,
2238,Eddie O'Flaherty,3/15/68,
2239,Eddie Peng,3/24/82,
2240,Eddie Redmayne,1/6/82,
2241,Eddie Rouse,7/2/54,12/7/14
2242,Eddie Spears,11/29/82,
2243,Eddie Vedder,12/23/64,
2244,Eden Riegel,1/1/81,
2245,Edgar Arreola,,
2246,Edgar Buchanan,3/20/03,4/4/79
2247,Edgar Ramírez,3/25/77,
2248,Edgar Tancangco,,
2249,Edgar Wright,4/18/74,
2250,Edi Gathegi,3/10/79,
2251,Edie Falco,7/5/63,
2252,Edith Massey,5/28/18,10/24/84
2253,Edmund McMillen,,
2254,Edouard Baer,12/1/66,
2255,Eduard Fernández,8/25/64,
2256,Eduardo Noriega,8/1/73,
2257,Eduardo Verástegui,5/21/74,
2258,Edward Andrews,,
2259,Edward Burns,,
2260,Edward Conna,6/19/68,
2261,Edward Dmytryk,9/4/08,7/1/99
2262,Edward Everett Horton,1886-03-18,9/29/70
2263,Edward Fox,4/13/37,
2264,Edward Hall,,
2265,Edward Norton,8/18/69,
2266,Edward Zwick,10/8/52,
2267,Edwin Hodge,1/26/85,
2268,Edwin Neal,7/12/45,
2269,Efram Potelle,,
2270,Eileen Brennan,9/3/32,7/28/13
2271,Eion Bailey,6/8/76,
2272,Ejner Federspiel,1896-08-12,11/24/81
2273,Ekachai Uekrongtham,,
2274,Elaine Bromka,1/6/50,
2275,Elaine Cassidy,12/31/79,
2276,Elaine Hendrix,12/28/70,
2277,Elaine May,4/21/32,
2278,Elaine Stritch,2/2/25,7/17/14
2279,Eldar Rapaport,,
2280,Elden Henson,8/30/77,
2281,Elea Oberon,,
2282,Eleanor Bron,3/14/38,
2283,Eleanor Parker,6/26/22,12/9/13
2284,Elena Anaya,7/17/75,
2285,Elena Lyadova,12/25/80,
2286,Elena Satine,11/24/87,
2287,Eli Craig,5/25/72,
2288,Eli Marienthal,3/6/86,
2289,Eli Roth,4/18/72,
2290,Elia Kazan,9/7/09,9/28/03
2291,Elijah Kelley,8/1/86,
2292,Elina Abai Kyzy,,
2293,Elina Alminas,,
2294,Elio Germano,9/25/80,
2295,Elisa Donovan,2/3/71,
2296,Elisabeth Harnois,5/26/79,
2297,Elise Muller,8/15/67,
2298,Elise Neal,3/14/66,
2299,Elissa Dowling,,
2300,Eliza Coupe,4/6/81,
2301,Elizabeth Allen Rosenbaum,,
2302,Elizabeth Banks,2/10/74,
2303,Elizabeth Berkley,7/28/72,
2304,Elizabeth Berrington,8/3/70,
2305,Elizabeth Blackmore,,
2306,Elizabeth Daily,9/11/61,
2307,Elizabeth Debicki,,
2308,Elizabeth MacRae,2/22/36,
2309,Elizabeth McGovern,7/18/61,
2310,Elizabeth Meriwether,,
2311,Elizabeth Perkins,11/18/60,
2312,Elizabeth Stenholt,,
2313,Elizabeth Streb,,
2314,Ella Joyce,6/12/54,
2315,Ella Wahlestedt,8/1/98,
2316,Ellar Coltrane,8/27/94,
2317,Ellen Albertini Dow,11/16/13,5/4/15
2318,Ellen Barkin,4/16/54,
2319,Ellen Block,,
2320,Ellen Burstyn,12/7/32,
2321,Ellen Ross,10/25/28,
2322,Ellen Sandweiss,12/30/58,
2323,Ellen Wong,,
2324,Ellia Thompson,,
2325,Ellie Cornell,12/15/63,
2326,Ellie Kendrick,6/6/90,
2327,Elliott Gould,8/29/38,
2328,Ellory Elkayem,8/12/70,
2329,Elodie Yung,2/22/81,
2330,Elpidia Carrillo,8/16/61,
2331,Elsa Lanchester,10/28/02,12/26/86
2332,Elton John,3/25/47,
2333,Elvis Nolasco,,
2334,Elvis Tsui,10/10/60,
2335,Elyas M'Barek,5/29/82,
2336,Embeth Davidtz,8/11/65,
2337,Eme Ikwuakor,,
2338,Emile Ardolino,5/9/43,11/20/93
2339,Émile Gaudreault,,
2340,Emilia Clarke,10/23/86,
2341,Emilia Fox,7/31/74,
2342,Émilie Dequenne,8/29/81,
2343,Emilio Estefan Jr.,3/4/53,
2344,Emilio Estevez,5/12/62,
2345,Emily Alyn Lind,,
2346,Emily Baldoni,8/3/84,
2347,Emily Dell,,
2348,Emily Gorell,,
2349,Emily Meade,1/10/89,
2350,Emily Nelson,,
2351,Emily Osment,3/10/92,
2352,Emily Pearson,,
2353,Emily Podleski,5/15/79,
2354,Emily Ratajkowski,6/7/91,
2355,Emily Rios,4/27/89,
2356,Emily Watson,1/14/67,
2357,Emily Wickersham,4/26/84,
2358,Emily Young,,
2359,Emir Kusturica,11/24/54,
2360,Emma Bell,12/17/86,
2361,Emma Caulfield,4/8/73,
2362,Emma de Caunes,9/9/76,
2363,Emma Eliza Regan,,
2364,Emma Kenney,9/14/99,
2365,Emma Lung,,
2366,Emma Stone,11/6/88,
2367,Emma Watson,4/15/90,
2368,Emma-Kate Croghan,,
2369,Emmanuel Kabongo,12/25/86,
2370,Emmanuelle Béart,8/14/63,
2371,Emmanuelle Bercot,11/6/67,
2372,Emmanuelle Riva,2/24/27,1/27/17
2373,Emmanuelle Seigner,6/22/66,
2374,Emmanuelle Vaugier,6/23/76,
2375,Emraan Hashmi,3/24/79,
2376,Enrico Colantoni,2/14/63,
2377,Enrique Begne,,
2378,Enrique Iglesias,5/8/75,
2379,Enrique Murciano,7/9/73,
2380,Enrique Villén,,
2381,Enzo Petito,1897-07-24,7/17/67
2382,Eoin Macken,4/15/87,
2383,Eric Ambriz,,
2384,Eric Blakeney,9/14/59,
2385,Eric Blore,1887-12-23,3/2/59
2386,Eric Bress,3/25/62,
2387,Eric Brevig,,
2388,Eric Bross,1/21/64,
2389,Eric Bugbee,,
2390,Eric Cantona,5/24/66,
2391,Eric Christmas,3/19/16,7/22/00
2392,Eric Dane,11/9/72,
2393,Eric Darnell,,
2394,Eric Eason,,
2395,Eric Elmosnino,5/2/64,
2396,Eric England,2/23/88,
2397,Eric Godon,2/7/59,
2398,Eric Idle,3/29/43,
2399,Eric Jacobson,7/25/70,
2400,Eric Johnson,4/28/74,
2401,Eric Lange,2/19/73,
2402,Eric Lartigau,,
2403,Eric Lavaine,,
2404,Eric Leighton,11/6/62,
2405,Eric Lloyd,5/19/86,
2406,Eric Mabius,4/22/71,
2407,Eric McCormack,4/18/63,
2408,Eric Mendelsohn,11/1/64,
2409,Eric Mendenhall,,
2410,Eric Nicholas,,
2411,Eric Peterson,10/2/46,
2412,Eric Schaeffer,1/22/62,
2413,Eric Schlosser,8/17/59,
2414,Eric Schweig,6/19/67,
2415,Eric Sheffer Stevens,6/19/72,
2416,Eric Stoltz,9/30/61,
2417,Eric Stonestreet,9/9/71,
2418,Eric Stuart,10/18/67,
2419,Eric Styles,,
2420,Eric Sykes,5/4/23,7/4/12
2421,Éric Tessier,1883-05-28,6/1/73
2422,Eric Valette,,
2423,Eric Winter,7/17/76,
2424,Eric Worre,,
2425,Erica Leerhsen,2/14/76,
2426,Erica Linz,,
2427,Erick Avari,4/13/52,
2428,Erick Elias,6/23/80,
2429,Ericson Core,,
2430,Erik Canuel,,
2431,Erik Estrada,3/16/49,
2432,Erik Knudsen,3/25/88,
2433,Erik Palladino,5/10/68,
2434,Erik Per Sullivan,7/12/91,
2435,Erik White,,
2436,Erika Christensen,8/19/82,
2437,Erin Bethea,8/12/82,
2438,Erin Boyes,,
2439,Erin Cipolletti,,
2440,Erin Daniels,10/9/72,
2441,Erin Fitzgerald,9/21/72,
2442,Erin Gray,1/7/50,
2443,Erin O'Brien,1/31/75,
2444,Erin Pitt,,
2445,Erin Wasson,1/20/82,
2446,Erland Josephson,6/15/23,2/25/12
2447,Ernest R. Dickerson,6/25/51,
2448,Ernie Barbarash,,
2449,Ernie Reyes Jr.,1/15/72,
2450,Eros Vlahos,1/13/95,
2451,Errol Flynn,6/20/09,10/14/59
2452,Errol Morris,2/5/48,
2453,Esai Morales,10/1/62,
2454,Essence Atkins,2/7/72,
2455,Essie Davis,,
2456,Estella Warren,12/23/78,
2457,Estelle Parsons,11/20/27,
2458,Esther Williams,8/8/21,6/6/13
2459,Etan Cohen,,
2460,Ethan Coen,9/21/57,
2461,Ethan Embry,6/13/78,
2462,Ethan Maniquis,,
2463,Ethan Peck,3/2/86,
2464,Ethan Stiefel,,
2465,Ethan Suplee,5/25/76,
2466,Étienne Faure,,
2467,Eugène Lourié,4/8/03,5/26/91
2468,Eugene Roche,9/22/28,7/28/04
2469,Eugenia Khirivskaya,9/3/81,
2470,Eugenie Bondurant,4/27/61,
2471,Eugenio Derbez,9/2/62,
2472,Eva Amurri Martino,3/15/85,
2473,Eva Birthistle,,
2474,Eva Boehnke,,
2475,Eva Bourne,,
2476,Eva Carrozza,,
2477,Eva Green,7/6/80,
2478,Eva LaRue,12/27/66,
2479,Eva Marcille,10/30/84,
2480,Eva Marie Saint,7/4/24,
2481,Evan Goldberg,,
2482,Evan Jones,,
2483,Evan McGuire,,
2484,Evan Parke,1/2/68,
2485,Evan Ross,8/26/88,
2486,Eve,11/10/78,
2487,Eve Ensler,5/25/53,
2488,Eve Plumb,4/29/58,
2489,Evelyn Jefferson,,
2490,Everett McGill,10/21/45,
2491,Everett Sloane,10/1/09,8/6/65
2492,Evgeniy Mironov,11/29/66,
2493,Ewen Bremner,1/23/72,
2494,Ewen Solon,9/7/17,7/7/85
2495,Exie Booker,,
2496,Eytan Fox,8/21/64,
2497,Ezra Miller,9/30/92,
2498,F. Gary Gray,7/17/69,
2499,F. Murray Abraham,10/24/39,
2500,Fabián Bielinsky,2/3/59,6/28/06
2501,Fabian Bolin,,
2502,Fabio Testi,8/2/41,
2503,Fabrice Luchini,11/1/51,
2504,Facundo Lombard,,
2505,Fadia Nadda,,
2506,Faizon Love,6/14/68,
2507,Fana Mokoena,5/13/71,
2508,Fann Wong,1/27/71,
2509,Fanny Ardant,3/22/49,
2510,Fares Fares,4/29/73,
2511,Farrah Fawcett,2/2/47,6/25/09
2512,Fatih Akin,8/25/73,
2513,Fay Masterson,4/15/74,
2514,Faye Dunaway,1/14/41,
2515,Fede Alvarez,2/9/78,
2516,Fedja van Huêt,6/21/73,
2517,Fedor Bondarchuk,5/9/67,
2518,Felicia Pearson,5/18/80,
2519,Felicity Huffman,12/9/62,
2520,Felix Avitia,10/3/02,
2521,Félix Moati,8/4/89,
2522,Fenella Woolgar,8/4/69,
2523,Fenton Bailey,,
2524,Ferdinando Vetere,,
2525,Fereshteh Sadre Orafaiy,,
2526,Fergie,3/27/75,
2527,Fernanda Andrade,,
2528,Fernanda Machado,10/10/80,
2529,Fernanda Montenegro,10/16/29,
2530,Fernanda Torres,9/14/65,
2531,Fernando Baez Mella,,
2532,Fernando Cayo,4/22/68,
2533,Fernando León de Aranoa,5/26/68,
2534,Fernando Meirelles,11/9/55,
2535,Fernando Rey,9/20/17,3/9/94
2536,Feroz Abbas Khan,,
2537,Ferzan Ozpetek,2/3/59,
2538,Filippo Timi,2/27/74,
2539,Fina Torres,4/25/69,
2540,Finlay Currie,1878-01-20,5/9/68
2541,Finn Ireland,,
2542,Finn Taylor,7/4/58,
2543,Finn Wittrock,10/28/84,
2544,Finola Hughes,10/29/59,
2545,Fiona Dourif,10/30/81,
2546,Fiona Glascott,11/22/82,
2547,Fiona Shaw,7/10/58,
2548,Fionnula Flanagan,12/10/41,
2549,Firass Dirani,4/29/84,
2550,Fisher Stevens,11/27/63,
2551,Flaco Navaja,,
2552,Flavio Parenti,,
2553,Flea,10/16/62,
2554,Flint Beverage,,
2555,Florence Ayisi,,
2556,Florence Henderson,2/14/34,11/24/16
2557,Florent-Emilio Siri,3/2/65,
2558,Floria Sigismondi,,
2559,Florian Henckel von Donnersmarck,5/2/73,
2560,Florian Lukas,3/16/73,
2561,Floyd Mutrux,6/25/41,
2562,Forest Whitaker,7/15/61,
2563,Forrest Tucker,2/12/19,10/25/86
2564,Fran Drescher,9/30/57,
2565,Fran Kranz,7/13/81,
2566,Frances Bavier,12/14/02,12/6/89
2567,Frances Bay,1/23/19,9/15/11
2568,Frances Conroy,11/13/53,
2569,Frances Fisher,10/21/56,12/27/16
2570,Frances Lee McCain,7/28/44,
2571,Frances O'Connor,6/12/67,
2572,Francesc Pagès,,
2573,Francesca Capaldi,,
2574,Francesca Gregorini,8/7/68,
2575,Francesca Rettondini,3/7/71,
2576,Francine Blake,,
2577,Francis Capra,4/27/83,
2578,Francis Ford Coppola,4/7/39,
2579,Francis Lawrence,11/7/51,
2580,Francis Lederer,1899-11-06,5/25/00
2581,Franck Khalfoun,,
2582,Franco Nero,11/23/41,
2583,Franco Zeffirelli,2/12/23,
2584,François Bégaudeau,,
2585,François Berléand,4/22/52,
2586,François Chau,10/26/59,
2587,François Cluzet,9/21/55,
2588,François Damiens,1/17/73,
2589,François Girard,1/12/63,
2590,François Ozon,11/15/67,
2591,François Truffaut,2/6/32,10/21/84
2592,Françoise Yip,9/4/72,
2593,Frank Borzage,1894-04-23,6/19/62
2594,Frank Capra,1897-05-18,9/3/91
2595,Frank Coraci,2/3/66,
2596,Frank Darabont,1/28/59,
2597,Frank Dillane,4/21/91,
2598,Frank Faylen,12/8/05,8/2/85
2599,Frank Finlay,8/6/26,1/30/16
2600,Frank Gerrish,3/14/63,
2601,Frank Grillo,6/8/65,
2602,Frank Hvam,9/12/70,
2603,Frank LaLoggia,1/12/54,
2604,Frank Langella,1/1/38,
2605,Frank Lotito,,
2606,Frank Marshall,9/13/46,
2607,Frank McHugh,1898-05-23,9/11/81
2608,Frank Miller,1/27/57,
2609,Frank Nissen,,
2610,Frank Oz,5/25/44,
2611,Frank Perry,8/21/30,8/29/95
2612,Frank Rautenbach,5/12/72,
2613,Frank Sebastiano,,
2614,Frank Vincent,8/4/39,
2615,Frank Welker,3/12/46,
2616,Frank Whaley,7/20/63,
2617,Frankie Muniz,12/5/85,
2618,Frankie Valli,5/3/34,
2619,Franklin J. Schaffner,5/30/20,7/2/89
2620,Franky G,10/30/65,
2621,Fred Armisen,12/4/66,
2622,Fred Dekker,4/9/59,
2623,Fred Durst,8/20/70,
2624,Fred Gwynne,7/10/26,7/2/93
2625,Fred MacMurray,8/30/08,11/5/91
2626,Fred Malatesta,1889-04-18,4/8/52
2627,Fred Melamed,5/13/56,
2628,Fred Rogers,3/20/28,2/27/03
2629,Fred Savage,7/9/76,
2630,Fred Schepisi,12/26/39,
2631,Fred Tatasciore,,
2632,Fred Walton,,
2633,Fred Ward,12/30/42,
2634,Fred Willard,9/18/39,
2635,Fred Williamson,3/5/38,
2636,Fred Wolf,9/13/32,
2637,Fred Zinnemann,4/29/07,3/14/97
2638,Freddie Jones,9/12/27,
2639,Freddy Rodríguez,1/17/75,
2640,Frédéric Auburtin,6/4/62,
2641,Frédéric Forestier,,
2642,Frederic Forrest,12/23/36,
2643,Frederick Weller,6/24/47,
2644,Frederik Du Chau,5/15/65,
2645,Fredro Starr,4/18/71,
2646,French Stewart,2/20/64,
2647,Frida Hallgren,12/16/74,
2648,Fritz Kortner,1892-05-12,7/22/70
2649,Fritz Lang,1890-12-05,8/2/76
2650,G.J. Echternkamp,,
2651,G.W. Bailey,8/27/44,
2652,G.W. Krauss,,
2653,Gabe Ibáñez,6/7/71,
2654,Gabor Csupo,9/29/52,
2655,Gabourey Sidibe,5/6/83,
2656,Gabriel Almirón,,
2657,Gabriel Bateman,,
2658,Gabriel Beristain,5/9/55,
2659,Gabriel Damon,4/23/76,
2660,Gabriel Hogan,,
2661,Gabriel Iglesias,7/15/76,
2662,Gabriel Millman,2/7/86,
2663,Gabriel Reyes,,
2664,Gabriel Thomson,10/27/86,
2665,Gabriela Castillo,,
2666,Gabriela Tagliavini,12/29/68,
2667,Gabriele Muccino,5/20/67,
2668,Gabrielle Carteris,1/2/61,
2669,Gabrielle Reece,1/6/70,
2670,Gaby Hoffmann,1/8/82,
2671,Gael Le Cornec,,
2672,Gage Golightly,9/5/93,
2673,Gaia Weiss,8/30/91,
2674,Gale Sondergaard,1899-02-15,8/14/85
2675,Gano Grills,,
2676,Garba Touré,,
2677,Garcelle Beauvais,11/26/66,
2678,Gareth Edwards,,
2679,Gareth Evans,,
2680,Garrett Clayton,,
2681,Garrett M. Brown,11/7/48,
2682,Garrett Morris,2/1/37,
2683,Garrett Ryan,,
2684,Garrick Hagon,9/27/39,
2685,Garry Cooper,5/7/01,5/13/61
2686,Garry Marshall,11/13/34,7/19/16
2687,Garry Shandling,11/29/49,3/24/16
2688,Garth Jennings,,
2689,Garvin Cross,,
2690,Gary Chapman,,
2691,Gary Cole,9/20/56,
2692,Gary Coleman,2/8/68,5/28/10
2693,Gary Cooper,5/7/01,5/13/61
2694,Gary Daniels,5/9/63,
2695,Gary David Goldberg,6/25/44,6/22/13
2696,Gary Dourdan,12/11/66,
2697,Gary Farmer,6/12/53,
2698,Gary Fleder,12/19/65,
2699,Gary Halvorson,,
2700,Gary Hardwick,,
2701,Gary Lewis,,
2702,Gary Lockwood,2/21/37,
2703,Gary McDonald,,
2704,Gary McKendry,,
2705,Gary Nelson,12/20/51,
2706,Gary Oldman,3/21/58,
2707,Gary Rogers,,
2708,Gary Ross,11/3/56,
2709,Gary Schwartz,,
2710,Gary Sherman,,
2711,Gary Shore,,
2712,Gary Sinyor,,
2713,Gary Stretch,11/4/68,
2714,Gary Trousdale,6/8/60,
2715,Gary Weeks,6/4/72,
2716,Gary Winick,3/31/61,2/27/11
2717,Gaspar Noé,12/27/63,
2718,Gastón Pauls,1/17/72,
2719,Gauhar Khan,8/23/83,
2720,Gavin Hood,5/12/63,
2721,Gavin MacLeod,2/28/31,
2722,Gavin Newsom,10/10/67,
2723,Gavin O'Connor,,
2724,Gavin Wiesen,,
2725,Gaye Brown,3/2/41,
2726,Gbenga Akinnagbe,12/12/78,
2727,Gedde Watanabe,6/26/55,
2728,Gemma Chan,11/29/82,
2729,Gemma Jones,12/4/42,
2730,Gen Seto,,
2731,Gena Rowlands,6/19/30,
2732,Gene Quintano,,
2733,Gene Simmons,8/25/49,
2734,Gene Teigland,,
2735,Gene Tierney,11/19/20,11/6/91
2736,Geneviève Bujold,7/1/42,
2737,Geneviève Lemon,,
2738,Genevieve O'Reilly,1/6/77,
2739,Genndy Tartakovsky,1/17/70,
2740,Geoff Bell,,
2741,Geoff Murphy,6/13/46,
2742,Geoff Stults,12/15/77,
2743,Geoffrey Arend,2/28/78,
2744,Geoffrey Holder,8/1/30,10/5/14
2745,Geoffrey Palmer,6/4/27,
2746,Geoffrey Sax,,
2747,Georg Wilhelm Pabst,1885-08-25,5/29/67
2748,George 'Buck' Flower,10/28/37,6/18/04
2749,George A. Romero,2/4/40,
2750,George Armitage,,
2751,George Brent,3/15/04,5/26/79
2752,George C. Scott,10/18/27,9/22/99
2753,George Carlin,5/12/37,6/22/08
2754,George Chakiris,9/16/34,
2755,George Clooney,5/6/61,
2756,George Coe,2/3/55,
2757,George Cole,3/1/67,
2758,George Coulouris,10/1/03,4/25/89
2759,George Cukor,1899-07-07,1/24/83
2760,George DiCenzo,4/21/40,8/9/10
2761,George Gallo,,
2762,George Hamilton,8/12/39,
2763,George Harris,2/18/25,2/28/16
2764,George Harrison,2/25/43,11/29/01
2765,George Hickenlooper,5/25/63,10/30/10
2766,George Jackson,,
2767,George Kennedy,2/18/25,2/28/16
2768,George Lazenby,9/5/39,
2769,George Lopez,4/23/61,
2770,George Lucas,5/14/44,
2771,George Miller,3/3/45,
2772,George Newbern,12/30/64,
2773,George Newton,4/5/57,
2774,George Nolfi,,
2775,George P. Cosmatos,1/4/41,4/19/05
2776,George Peppard,10/1/28,5/8/94
2777,George Raft,9/26/01,11/24/80
2778,George Ratliff,10/11/68,
2779,George Reeves,1/5/14,6/16/59
2780,George Roy Hill,12/20/21,12/27/02
2781,George Sanders,7/3/06,4/25/72
2782,George Sidney,10/4/16,5/5/02
2783,George Stevens,4/3/32,
2784,George T. Odom,8/21/50,9/21/16
2785,George Tillman Jr.,1/26/69,
2786,George Voskovec,6/19/05,7/1/81
2787,George W. Bush,7/6/46,
2788,George Wendt,10/17/48,
2789,Georgia Groome,2/11/92,
2790,Georgia Hilton,,
2791,Georgina Cates,1/14/75,
2792,Georgina Chapman,4/14/76,
2793,Georgina Reilly,2/12/86,
2794,Gerald McRaney,8/19/47,
2795,Gerald Potterton,3/8/31,
2796,Geraldine Chaplin,7/31/44,
2797,Geraldine McEwan,5/9/32,1/30/15
2798,Gerard Butler,11/13/69,
2799,Gerard Johnstone,,
2800,Gérard Jugnot,5/4/51,
2801,Gérard Krawczyk,5/17/53,
2802,Gerard McSorley,,
2803,Gerardo Taracena,,
2804,Germán Alcarazu,,
2805,Gerry Becker,4/11/51,
2806,Gerry Bednob,,
2807,Gerry Lively,,
2808,Gerry Lopez,,
2809,Gert Fröbe,2/25/13,9/5/88
2810,Ghassan Massoud,9/20/58,
2811,Gia Coppola,1/1/87,
2812,Gia Mantegna,4/17/90,
2813,Gian Maria Volontè,4/9/33,12/6/94
2814,Giancarlo Giannini,8/1/42,
2815,Gideon Emery,9/12/72,
2816,Gideon Raff,,
2817,Gigi Rice,3/13/65,
2818,Gil Bellows,6/28/67,
2819,Gil Birmingham,7/13/53,
2820,Gil Junger,11/7/54,
2821,Gil Kenan,10/16/76,
2822,Gilbert Gottfried,2/28/55,
2823,Gilbert R. Hill,11/6/31,2/29/16
2824,Gilbert Roland,12/11/05,5/15/94
2825,Gilles Lellouche,,
2826,Gilles Paquet-Brenner,,
2827,Gillian Armstrong,12/18/50,
2828,Gillian Jacobs,10/19/82,
2829,Gillian Robespierre,6/29/78,
2830,Gillian White,,
2831,Gina Bellman,7/10/66,
2832,Gina Holden,3/17/75,
2833,Gina Lollobrigida,7/4/27,
2834,Gina McKee,4/14/64,
2835,Gina Montana,,
2836,Gina Prince-Bythewood,6/10/69,
2837,Ginger Jensen,,
2838,Ginger Rogers,7/16/11,4/25/95
2839,Gino Salvano,,
2840,Giovanna Mezzogiorno,11/9/74,
2841,Giovanni Zelko,,
2842,Gitte Witt,6/20/83,
2843,Giulia Michelini,6/2/85,
2844,Giuliano Montaldo,2/22/30,
2845,Giuseppe Tornatore,5/27/56,
2846,Gladys Cooper,1888-12-18,11/17/71
2847,Glen Hansard,4/21/70,
2848,Glen Morgan,,
2849,Glen Murphy,,
2850,Glen Powell,10/21/88,
2851,Glenn Beck,2/10/64,
2852,Glenn Campbell,4/22/36,
2853,Glenn Erland Tosterud,,
2854,Glenn Ficarra,,
2855,Glenn Ford,5/1/16,8/30/06
2856,Glenn Howerton,4/13/76,
2857,Glenn Morshower,4/24/59,
2858,Glenn Plummer,8/18/61,
2859,Glenn Shadix,4/15/52,9/7/10
2860,Glenne Headly,3/13/55,
2861,Gloria Foster,11/15/33,9/29/01
2862,Gloria Grahame,11/28/23,10/5/81
2863,Gloria Reuben,6/9/64,
2864,Gloria Sandoval,,
2865,Gloria Stuart,7/4/10,9/26/10
2866,Gloria Votsis,2/9/79,
2867,Glynis Johns,10/5/23,
2868,Gnana Rajasekaran,,
2869,Gonzalo López-Gallego,,
2870,Goran Dukic,,
2871,Goran Visnjic,9/9/72,
2872,Gordon Chan,,
2873,Gordon Currie,9/25/65,
2874,Gordon Jackson,12/19/23,1/15/90
2875,Gordon Jump,4/1/32,9/22/03
2876,Gordon Pinsent,7/12/30,
2877,Gore Verbinski,3/16/64,
2878,Goya Toledo,9/24/69,
2879,Grace Gummer,5/9/86,
2880,Grace Jones,5/19/48,
2881,Grace Phipps,5/4/92,
2882,Graham Annable,,
2883,Graham Beckel,12/22/49,
2884,Graham McTavish,1/3/61,
2885,Grant Bowler,7/18/68,
2886,Grant Heslov,5/15/63,
2887,Grasie Mercedes,2/23/78,
2888,Graziella Galvani,6/27/31,
2889,Greer Garson,2/20/29,8/16/89
2890,Greg Aronowitz,,
2891,Greg Ayres,12/7/68,
2892,Greg Berlanti,5/24/72,
2893,Greg Collins,12/8/52,
2894,Greg Coolidge,12/28/72,
2895,Greg Crowe,3/13/65,
2896,Greg D'Agostino,,
2897,Greg Germann,2/26/58,
2898,Greg Grunberg,7/11/66,
2899,Greg Harrison,5/31/50,
2900,Greg Jackson,6/10/64,
2901,Greg Marcks,8/12/76,
2902,Greg Mottola,7/11/64,
2903,Greg Nicotero,3/15/63,
2904,Greg Speirs,,
2905,Greg Tiernan,6/19/65,
2906,Gregg Henry,5/6/52,
2907,Gregor Jordan,,
2908,Gregory Alan Williams,6/12/56,
2909,Gregory Cruz,,
2910,Gregory Hoblit,11/27/44,
2911,Gregory Itzin,4/20/48,
2912,Gregory Jacobs,,
2913,Gregory Nava,4/10/49,
2914,Gregory Poirier,5/19/61,
2915,Gregory Scott Cummins,,
2916,Gregory Sierra,1/25/41,
2917,Gregory Smith,7/6/83,
2918,Gregory Widen,,
2919,Greta Gerwig,8/4/83,
2920,Gretchen Mol,11/8/72,
2921,Gretchen Palmer,12/16/61,
2922,Grey Damon,9/24/87,
2923,Grey Griffin,8/24/73,
2924,Griffin Cleveland,,
2925,Griffin Dunne,6/8/55,
2926,Griffin Kane,,
2927,Grigoriy Dobrygin,2/17/86,
2928,Guang Li,,
2929,Guillaume Canet,4/10/73,
2930,Guillaume Denaiffe,,
2931,Guillaume Ivernel,,
2932,Guillermo Arriaga,3/13/58,
2933,Guillermo del Toro,10/9/64,
2934,Guillermo Francella,2/14/55,
2935,Gulshan Grover,9/21/55,
2936,Gunnar Hansen,,
2937,Gurinder Chadha,1/10/60,
2938,Guro Nagelhus Schia,,
2939,Gus Van Sant,7/24/52,
2940,Gustaf Skarsgård,11/12/80,
2941,Gustav Fröhlich,3/21/02,12/22/87
2942,Guy Hamilton,3/25/64,
2943,Guy Maddin,2/28/56,
2944,Guy Ritchie,9/10/68,
2945,Gyton Grantley,,
2946,H.M. Coakley,1/1/71,
2947,H.M. Wynant,2/12/27,
2948,Hailu Qin,,
2949,Hakeem Kae-Kazim,10/1/62,
2950,Hal Haberman,,
2951,Hal Holbrook,2/17/25,
2952,Hal Landon Jr.,5/23/41,
2953,Hal Linden,3/20/31,
2954,Hal Needham,3/6/31,10/25/13
2955,Haley Bennett,1/7/88,
2956,Haley Joel Osment,4/10/88,
2957,Haley Ramm,3/26/92,
2958,Hallee Hirsh,12/16/87,
2959,Haluk Bilginer,6/5/54,
2960,Ham Tran,,
2961,Hana Mae Lee,9/28/88,
2962,Hana Shuan,9/24/81,
2963,Hanaa Bouchaib,,
2964,Hank Braxtan,4/27/80,
2965,Hannah Britland,,
2966,Hannah Murray,7/1/89,
2967,Hannah Spearritt,4/1/81,
2968,Hanne Aagesen,1/11/33,3/18/16
2969,Hanno Pöschl,7/2/49,
2970,Hans Canosa,,
2971,Hans Kesting,10/6/60,
2972,Hans Matheson,8/7/75,
2973,Hans Petter Moland,10/17/55,
2974,Hans Weingartner,11/2/70,
2975,Hansika Motwani,8/9/91,
2976,Hao Ning,,
2977,Harald Reinl,7/9/08,10/9/86
2978,Harald Zwart,7/1/65,
2979,Hardy Krüger,4/12/28,
2980,Hark Tsui,2/15/50,
2981,Harland Williams,11/14/62,
2982,Harley Cokeliss,2/11/45,
2983,Harley Jane Kozak,1/28/57,
2984,Harmage Singh Kalirai,,
2985,Harmony Korine,1/4/73,
2986,Harold Becker,9/25/28,
2987,Harold Cronk,,
2988,Harold Gould,12/10/23,9/11/10
2989,Harold Perrineau,8/7/63,
2990,Harold Ramis,11/21/44,2/24/14
2991,Harriet Walter,9/24/50,
2992,Harris Yulin,11/5/37,
2993,Harrison Ford,7/13/42,
2994,Harrison Gilbertson,,
2995,Harrison Page,8/27/41,
